,Name,state,summit_elev,vertical_drop,base_elev,trams,fastEight,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekday,AdultWeekend,projectedDaysOpen,NightSkiing_ac,clusters
109,Mt. Brighton,Michigan,1330,230,1100,0,0,0,0,2,3,0,8,13,25,5,0.1,130.0,130.0,111,59,60.0,52.0,59.0,100,130.0,1
110,Mt. Holiday Ski Area,Michigan,440,200,240,0,0,0,0,0,0,2,2,4,12,0,0.1,45.0,45.0,100,70,120.0,22.0,34.0,90,45.0,1
111,Mount Holly,Michigan,1105,350,755,0,0,0,1,2,3,1,6,13,19,0,0.1,100.0,100.0,104,63,42.0,37.0,45.0,102,100.0,1
112,Mulligan's Hollow Ski Bowl,Michigan,700,130,570,0,0,0,0,0,0,0,5,5,6,0,0.2,10.0,10.0,104,19,60.0,15.0,20.0,111,10.0,1
113,Norway Mountain,Michigan,1335,500,835,0,0,0,0,0,1,2,3,6,17,1,1.4,186.0,186.0,110,45,100.0,57.92,45.0,110,40.0,1
114,Nubs Nob Ski Area,Michigan,1338,427,911,0,0,0,0,3,4,2,1,10,53,3,0.9,248.0,248.0,133,61,135.0,65.0,85.0,130,160.0,1
115,Pine Knob Ski Resort,Michigan,1308,300,1009,0,0,0,0,0,0,0,6,6,14,3,1.0,80.0,80.0,104,1,133.5,49.0,57.0,111,0.0,1
116,Pine Mountain,Michigan,1650,500,1150,0,0,0,0,0,1,2,1,4,28,1,0.5,160.0,160.0,110,80,60.0,57.92,45.0,126,80.0,1
117,Schuss Mountain at Shanty Creek,Michigan,1125,450,675,0,0,0,0,5,0,0,3,8,42,3,1.0,70.0,70.0,94,57,160.0,58.0,78.0,111,70.0,1
118,Ski Brule,Michigan,1860,500,1360,0,0,0,0,0,0,5,7,12,17,3,1.0,150.0,150.0,164,62,150.0,49.0,49.0,165,40.0,1
119,Snow Snake Mountain Ski Area,Michigan,1230,210,1020,0,0,0,0,0,1,0,5,6,12,2,0.0,40.0,40.0,104,72,133.5,30.0,35.0,111,40.0,1
120,Swiss Valley,Michigan,1200,225,975,0,0,0,0,2,1,0,4,7,11,2,0.1,60.0,60.0,89,51,60.0,32.0,42.0,80,60.0,1
121,The Homestead,Michigan,900,320,580,0,0,0,0,0,2,1,2,5,15,1,0.2,16.0,16.0,47,34,150.0,50.0,50.0,42,16.0,1
122,Timber Ridge,Michigan,850,250,600,0,0,0,0,1,1,2,4,8,16,2,0.3,50.0,50.0,80,58,133.5,35.0,45.0,111,50.0,1
123,Treetops Resort,Michigan,1345,225,1120,0,0,0,0,0,3,0,2,5,23,3,0.2,80.0,80.0,63,65,175.0,57.92,64.17,101,80.0,1
124,Afton Alps,Minnesota,1530,350,1180,0,0,0,0,1,3,14,4,22,48,5,0.5,250.0,250.0,135,56,60.0,55.0,60.0,135,250.0,1
125,Andes Tower Hills Ski Area,Minnesota,1620,290,1330,0,0,0,0,1,2,0,3,6,15,2,0.2,35.0,35.0,100,38,55.0,45.0,45.0,110,35.0,1
126,Buck Hill,Minnesota,1225,309,919,0,0,0,0,2,1,0,5,8,16,0,0.2,45.0,45.0,115,65,60.0,34.0,47.0,112,45.0,1
127,Buena Vista Ski Area,Minnesota,1510,230,1280,0,0,0,0,0,2,2,2,6,17,0,0.3,30.0,30.0,57,70,78.0,44.0,44.0,60,30.0,1
128,Coffee Mill Ski & Snowboard Resort,Minnesota,1150,425,725,0,0,0,0,0,0,2,1,3,14,1,1.0,40.0,35.0,57,39,48.0,23.0,37.0,56,35.0,1
129,Elm Creek Winter Recreation Area,Minnesota,928,60,868,0,0,0,0,0,0,0,3,3,3,0,1.0,15.0,20.0,105,13,45.0,17.0,17.0,102,15.0,1
130,Giants Ridge Resort,Minnesota,1972,500,1472,0,0,0,1,1,1,2,2,7,35,2,0.8,202.0,202.0,120,35,85.0,49.0,58.0,125,121.0,1
131,Hyland Ski & Snowboard Area,Minnesota,1075,175,900,0,0,0,0,2,1,0,5,8,14,1,1.0,35.0,35.0,110,61,55.0,35.34,35.34,115,35.0,1
132,Lutsen Mountains,Minnesota,1688,825,800,1,0,1,0,0,1,4,1,8,62,2,2.0,393.0,231.0,135,71,120.0,84.0,84.0,127,0.0,1
133,Mount Kato Ski Area,Minnesota,540,240,300,0,0,0,0,5,0,3,2,10,19,4,1.0,55.0,55.0,115,43,50.0,34.0,46.0,120,50.0,1
134,Powder Ridge Ski Area,Minnesota,790,300,500,0,0,0,0,1,0,2,3,6,15,4,1.43,60.0,60.0,97,58,45.0,36.0,48.0,113,60.0,1
135,Spirit Mountain,Minnesota,1320,700,620,0,0,0,1,1,2,1,2,7,22,3,1.0,175.0,175.0,100,45,100.0,59.0,59.0,125,144.0,1
136,Welch Village,Minnesota,1060,360,700,0,0,0,0,3,1,4,2,10,50,1,0.8,125.0,125.0,114,54,45.0,54.0,60.0,122,100.0,1
137,Wild Mountain Ski & Snowboard Area,Minnesota,1113,300,813,0,0,0,0,4,0,0,4,8,26,4,0.9,100.0,100.0,130,47,50.0,55.0,55.0,140,100.0,1
138,Hidden Valley Ski Area,Missouri,2566,310,2316,0,0,0,0,2,2,0,3,7,17,0,0.1,30.0,30.0,69,37,26.0,49.0,49.0,85,17.0,1
139,Snow Creek,Missouri,1100,300,800,0,0,0,0,0,2,1,2,5,14,2,0.3,30.0,30.0,69,33,20.0,37.0,47.0,85,30.0,1
140,Big Sky Resort,Montana,11166,4350,7500,1,1,2,5,3,7,5,12,36,317,8,6.0,5800.0,400.0,144,46,400.0,57.92,64.17,144,0.0,0
141,Blacktail Mountain Ski Area,Montana,6676,1440,5236,0,0,0,0,0,1,2,1,4,27,0,0.7,1000.0,255.9,106,21,250.0,42.0,42.0,119,0.0,2
142,Bridger Bowl,Montana,8700,2600,6100,0,0,0,0,1,6,1,3,11,105,2,1.5,2000.0,100.0,122,64,350.0,63.0,63.0,133,0.0,2
143,Discovery Ski Area,Montana,8150,2380,5770,0,0,0,0,0,5,2,1,8,74,1,1.5,2400.0,25.0,116,46,225.0,49.0,49.0,116,0.0,2
144,Great Divide,Montana,7330,1580,5750,0,0,0,0,0,0,5,1,6,110,6,3.0,1600.0,150.0,94,78,180.0,48.0,48.0,100,100.0,2
145,Lost Trail - Powder Mtn,Montana,8200,1800,6400,0,0,0,0,0,0,5,3,8,69,2,2.5,1800.0,255.9,84,81,325.0,46.0,46.0,80,0.0,2
146,Maverick Mountain,Montana,8520,2020,6500,0,0,0,0,0,0,1,1,2,22,0,1.3,255.0,255.9,106,83,160.0,39.0,39.0,119,0.0,2
147,Montana Snowbowl,Montana,7600,2600,5000,0,0,0,0,0,0,2,2,4,37,0,1.2,950.0,20.0,106,58,300.0,50.0,50.0,119,10.0,2
148,Red Lodge Mountain,Montana,9416,2400,7016,0,0,0,2,0,1,3,1,7,70,2,2.5,1635.0,496.0,142,59,250.0,67.0,67.0,136,0.0,0
149,Showdown Montana,Montana,8200,1400,6800,0,0,0,0,0,1,2,1,4,36,1,1.8,640.0,255.9,86,83,250.0,47.0,47.0,85,0.0,2
150,Teton Pass Ski Resort,Montana,7200,1010,6190,0,0,0,0,0,0,1,2,3,43,1,3.0,330.0,255.9,40,54,250.0,39.0,39.0,150,0.0,2
151,Whitefish Mountain Resort,Montana,6817,2353,4464,0,0,0,3,2,6,0,3,14,105,4,3.3,3000.0,600.0,123,72,333.0,81.0,81.0,123,600.0,2
152,Diamond Peak,Nevada,8540,1840,6700,0,0,0,1,2,0,3,1,7,30,3,2.5,655.0,492.0,100,53,300.0,89.0,99.0,122,0.0,2
153,Elko SnoBowl,Nevada,7000,700,6300,0,0,0,0,0,0,1,1,2,10,0,1.0,60.0,2.0,19,23,24.0,20.0,20.0,30,0.0,2
154,Lee Canyon,Nevada,11289,860,8510,0,0,0,0,2,1,0,0,3,24,1,0.3,195.0,50.0,144,56,161.0,70.0,70.0,150,0.0,0
155,Mt. Rose - Ski Tahoe,Nevada,9700,1800,8260,0,0,2,0,2,2,0,2,8,65,5,2.5,1200.0,330.0,152,55,350.0,135.0,135.0,150,0.0,0
156,Attitash,New Hampshire,2350,1750,600,0,0,0,2,1,3,2,1,9,68,3,3.0,311.0,240.0,115,54,120.0,79.0,89.0,130,0.0,1
157,Black Mountain,New Hampshire,2350,1100,1250,0,0,0,0,0,1,1,3,5,45,0,1.6,143.0,120.0,110,84,125.0,45.0,59.0,107,0.0,1
158,Bretton Woods,New Hampshire,3100,1500,1600,0,0,0,4,1,1,0,3,9,63,2,2.0,464.0,427.0,180,46,200.0,85.0,99.0,180,45.0,1
159,Cannon Mountain,New Hampshire,4080,2180,1900,1,0,0,1,2,3,1,3,11,97,3,2.3,285.0,192.0,124,81,160.0,79.0,79.0,143,0.0,1
160,Cranmore Mountain Resort,New Hampshire,2000,1200,600,0,0,0,1,1,2,1,2,7,57,4,1.0,200.0,192.0,107,82,150.0,57.92,64.17,128,0.0,1
161,Crotched Mountain,New Hampshire,2066,1016,1050,0,0,0,1,1,1,1,1,5,25,3,1.2,100.0,100.0,105,16,105.0,55.0,69.0,100,100.0,1
162,Dartmouth Skiway,New Hampshire,1943,969,974,0,0,0,0,1,0,1,2,4,28,1,1.1,107.0,54.0,104,63,100.0,50.0,50.0,105,0.0,1
163,Gunstock,New Hampshire,2300,1400,900,0,0,0,1,2,2,0,1,6,55,4,1.5,227.0,176.0,106,82,120.0,80.0,92.0,129,60.0,1
164,King Pine,New Hampshire,850,350,500,0,0,0,0,0,3,0,3,6,17,2,0.3,48.0,45.0,105,57,120.0,42.0,58.0,107,23.0,1
165,Loon Mountain,New Hampshire,3050,2100,950,1,0,0,3,1,1,3,2,11,61,6,2.5,370.0,322.0,149,53,160.0,57.92,64.17,144,0.0,1
166,Mount Sunapee,New Hampshire,2743,1510,1233,0,0,0,2,1,2,1,4,10,66,4,0.8,232.0,215.0,130,71,100.0,83.0,93.0,136,0.0,1
167,Pats Peak,New Hampshire,1460,770,690,0,0,0,0,0,4,2,5,11,28,3,1.5,115.0,115.0,109,56,100.0,58.0,72.0,112,93.0,1
168,Ragged Mountain Resort,New Hampshire,2250,1250,1000,0,0,1,1,0,1,0,3,6,57,3,0.7,250.0,200.0,123,54,100.0,74.0,84.0,140,0.0,1
169,Waterville Valley,New Hampshire,4004,2020,1984,0,0,0,2,0,2,3,4,11,62,4,1.9,265.0,220.0,142,54,148.0,79.0,93.0,142,0.0,1
170,Whaleback Mountain,New Hampshire,1800,700,1100,0,0,0,0,0,0,1,3,4,30,1,1.0,85.0,60.0,105,64,110.0,30.0,45.0,105,55.0,1
171,Wildcat Mountain,New Hampshire,4062,2112,1950,0,0,0,1,0,3,0,1,5,48,0,2.8,225.0,200.0,156,61,200.0,79.0,89.0,150,0.0,1
172,Campgaw Mountain,New Jersey,726,274,450,0,0,0,0,0,0,2,3,5,12,1,0.3,23.0,23.0,80,58,45.0,57.92,64.17,100,14.0,1
173,Mountain Creek Resort,New Jersey,1480,1040,440,1,0,0,2,2,1,1,3,10,46,3,2.0,167.0,167.0,90,54,65.0,79.99,79.99,100,167.0,1
174,Angel Fire Resort,New Mexico,10677,2077,8600,0,0,0,2,0,0,3,2,7,81,3,3.0,560.0,230.0,101,53,210.0,77.0,77.0,101,50.0,0
175,Enchanted Forest Ski Area,New Mexico,10078,400,9820,0,0,0,0,0,0,0,0,0,33,0,2.5,600.0,232.4,130,34,240.0,20.0,20.0,140,0.0,0
176,Pajarito Mountain Ski Area,New Mexico,10441,1410,9031,0,0,0,0,1,1,3,1,6,45,2,0.6,750.0,35.0,89,62,163.0,49.0,49.0,117,0.0,0
177,Red River,New Mexico,10350,1600,8750,0,0,0,0,1,3,1,2,7,63,3,2.5,209.0,232.4,110,60,214.0,79.0,79.0,116,0.0,0
178,Sandia Peak,New Mexico,10378,1700,8678,0,0,0,0,0,0,4,1,5,39,1,2.0,200.0,30.0,32,82,100.0,55.0,55.0,38,0.0,0
179,Sipapu Ski Resort,New Mexico,9255,1055,8200,0,0,0,0,1,2,0,3,6,42,4,0.5,200.0,140.0,127,67,190.0,47.0,47.0,143,0.0,0
180,Ski Apache,New Mexico,11500,1900,9600,1,0,0,0,2,6,0,2,11,55,3,2.0,750.0,270.0,133,58,185.0,74.0,74.0,124,0.0,0
181,Ski Santa Fe,New Mexico,12075,1725,10350,0,0,0,0,1,2,2,2,7,83,1,3.0,660.0,275.0,107,73,225.0,80.0,80.0,130,0.0,0
182,Taos Ski Valley,New Mexico,12481,3281,9200,1,0,0,1,3,4,1,4,14,111,1,5.0,1294.0,647.0,137,64,300.0,110.0,110.0,136,0.0,0
183,Belleayre,New York,3429,1404,2025,1,0,0,1,1,1,2,2,8,50,2,2.2,175.0,168.0,154,70,130.0,60.0,72.0,150,0.0,1
184,Brantling Ski Slopes,New York,850,250,600,0,0,0,0,0,0,0,5,5,10,0,0.1,20.0,16.0,108,19,110.0,32.0,32.0,112,0.0,1
185,Bristol Mountain,New York,2200,1200,1000,0,0,0,2,1,1,1,1,6,34,3,2.0,160.0,148.0,129,55,60.0,65.0,76.0,129,154.0,1
186,Buffalo Ski Club Ski Area,New York,3429,500,2025,0,0,0,0,0,0,2,4,6,43,1,1.43,225.0,150.0,108,12,131.3,35.0,50.0,112,100.0,1
187,Catamount,New York,2000,1000,1000,0,0,0,0,1,1,2,3,7,36,5,2.0,133.0,130.0,100,80,108.0,38.0,69.0,90,55.0,1
188,Dry Hill Ski Area,New York,950,300,650,0,0,0,0,0,0,1,2,3,7,1,0.2,35.0,26.0,108,55,125.0,57.92,35.0,112,26.0,1
189,Gore Mountain,New York,3600,2537,998,1,0,0,2,2,3,2,4,14,110,7,4.5,439.0,338.0,142,55,150.0,80.0,88.0,112,15.0,1
190,Greek Peak,New York,2100,952,1148,0,0,0,0,1,1,4,2,8,56,4,1.5,220.0,184.0,110,62,122.0,49.0,63.2,113,175.0,1
191,Holiday Mountain,New York,1550,400,1150,0,0,0,0,1,0,1,2,4,9,0,0.4,37.0,37.0,75,60,50.0,27.0,42.0,85,37.0,1
192,Holiday Valley,New York,2250,750,1500,0,0,0,3,8,0,0,2,13,60,5,1.0,290.0,266.0,116,62,180.0,65.0,78.0,129,189.0,1
193,Holimont Ski Area,New York,2260,700,1560,0,0,0,1,1,2,3,1,8,53,3,1.5,135.0,135.0,110,57,180.0,62.0,75.0,119,0.0,1
194,Hunt Hollow Ski Club,New York,2030,825,1000,0,0,0,0,0,1,1,1,3,19,1,1.0,400.0,400.0,108,52,130.0,48.0,58.0,75,400.0,1
195,Hunter Mountain,New York,3200,1600,1600,0,0,2,1,2,2,2,4,13,67,4,2.0,320.0,320.0,148,59,120.0,79.0,89.0,155,0.0,1
196,Kissing Bridge,New York,1700,550,1150,0,0,0,0,2,1,4,3,10,39,5,0.5,700.0,550.0,103,59,120.0,40.0,60.0,100,650.0,1
197,Labrador Mt.,New York,1825,700,1125,0,0,0,0,0,1,2,1,4,23,1,1.0,250.0,237.0,108,62,125.0,59.0,59.0,100,180.0,1
198,Maple Ski Ridge,New York,1200,450,750,0,0,0,0,0,1,1,1,3,10,0,0.3,25.0,25.0,108,57,131.3,26.0,38.0,112,20.0,1
199,McCauley Mountain Ski Center,New York,2250,633,1563,0,0,0,0,0,0,1,4,5,23,1,0.3,70.0,55.0,105,61,200.0,20.0,30.0,105,0.0,1
200,Mount Peter Ski Area,New York,1250,450,750,0,0,0,0,1,0,2,2,5,14,1,1.0,69.0,69.0,100,83,50.0,35.0,54.0,100,69.0,1
201,Oak Mountain,New York,2400,650,1750,0,0,0,0,1,0,0,3,4,22,1,1.2,46.0,18.0,108,71,120.0,40.0,40.0,112,12.0,1
202,Peek'n Peak,New York,1800,400,1400,0,0,0,0,0,8,0,2,10,27,4,2.4,110.0,110.0,110,55,225.0,49.0,63.0,112,110.0,1
203,Plattekill Mountain,New York,3500,1100,2400,0,0,0,0,0,1,1,2,4,38,1,2.0,110.0,75.0,65,26,175.0,50.0,67.0,65,0.0,1
204,Royal Mountain Ski Area,New York,1800,550,1250,0,0,0,0,0,0,3,0,3,14,0,0.3,35.0,28.0,108,63,90.0,45.0,45.0,112,0.0,1
205,Snow Ridge,New York,2000,650,1350,0,0,0,0,0,0,4,2,6,21,2,0.8,130.0,65.0,73,74,230.0,38.0,48.0,100,40.0,1
206,Song Mountain,New York,1940,700,1240,0,0,0,0,0,1,1,3,5,24,0,0.4,93.0,70.0,90,55,125.0,59.0,59.0,122,70.0,1
207,Swain,New York,1970,650,1320,0,0,0,0,3,0,1,1,5,35,3,1.0,130.0,90.0,102,72,120.0,49.0,59.0,100,80.0,1
208,Thunder Ridge,New York,1270,500,770,0,0,0,0,0,1,2,3,6,30,0,0.4,100.0,100.0,121,60,131.3,57.92,57.0,121,100.0,1
209,Titus Mountain,New York,2025,1200,825,0,0,0,0,0,2,6,2,10,50,3,2.0,200.0,150.0,101,59,150.0,39.0,49.0,100,70.0,1
210,Toggenburg Mountain,New York,2000,700,1300,0,0,0,0,0,1,1,3,5,22,2,0.4,85.0,144.2,108,66,130.0,55.0,55.0,122,73.0,1
211,West Mountain,New York,1470,1010,460,0,0,0,0,0,1,2,2,5,29,1,0.6,124.0,105.0,108,58,80.0,49.0,59.0,120,105.0,1
212,Whiteface Mountain Resort,New York,4650,3430,1220,1,0,0,1,1,2,5,2,12,86,5,2.1,288.0,220.0,122,61,168.0,96.0,96.0,141,0.0,1
213,Willard Mountain,New York,1415,505,910,0,0,0,0,0,0,2,3,5,16,0,0.4,50.0,35.0,85,19,80.0,46.0,46.0,120,35.0,1
214,Windham Mountain,New York,3100,1600,1500,0,0,1,2,0,3,1,5,12,54,6,2.0,285.0,280.0,123,59,105.0,85.0,95.0,130,56.0,1
215,Woods Valley Ski Area,New York,1400,500,900,0,0,0,0,0,0,2,4,6,21,0,0.3,25.0,16.0,108,55,180.0,31.0,39.0,112,15.0,1
216,Appalachian Ski Mountain,North Carolina,4000,365,3635,0,0,0,0,2,0,1,2,5,12,3,0.5,27.0,27.0,100,57,50.0,40.0,64.0,100,27.0,1
217,Cataloochee Ski Area,North Carolina,5400,740,4660,0,0,0,0,1,1,1,2,5,18,2,1.0,50.0,50.0,141,58,50.0,43.0,70.0,108,50.0,2
